序号,法语词条,原书页码
1,"à la dernière minute, au dernier moment",235
2,à peine,235
3,à quoi bon,235
4,abonnement,235
5,abonner (s'—),235
6,accepter,235
7,accepter de,235
8,accès,235
9,accueil,235
10,accueillir,235
11,achat,235
12,faire des achats,235
13,actif(ve),235
14,population active,235
15,actualite,235
16,actuellement,235
17,adapté(e),235
18,adapter(s') à,235
19,ado,235
20,adolescence,235
21,adulte,235
22,affirmation,235
23,âgé(e),235
24,agir(s') de,235
25,agrandir,235
26,agriculteur(trice),235
27,EEE EE,235
28,aide,235
29,à l aide de,235
30,avec l'aide de,235
31,aider,235
32,ailleurs,235
33,d ailleurs,235
34,Airbus,235
35,Aix-en-Provence,235
36,album,235
37,Alger,235
38,alimentation,235
39,Allemagne,235
40,allemand,235
41,allemande,235
42,aller (à),235
43,américain(e),235
44,ancien(ne),235
45,anniversaire,235
46,anglaisle),235
47,Angleterre,235
48,animateur(trice),235
49,anniversaire,235
50,apparaître,235
51,appartenance,235
52,appétit,235
53,apprendre à,235
54,ardent(e),235
55,arrêté,235
56,arrêter(s,235
57,arriver,236
58,arrondissement,236
59,association,236
60,associer,236
61,associer à,236
62,attente,236
63,attirer,236
64,augmenter,236
65,au moins,236
66,auteur,236
67,automne,236
68,automobiliste,236
69,autorisation,236
70,autoriser,236
71,autoriser qn à faire qch.,236
72,autre,236
73,les autres,236
74,autrefois,236
75,avant,236
76,aventure,236
77,Avignon,236
78,avis,236
79,avoir lieu,236
80,baisser,236
81,banal(e),236
82,bande-annonce,236
83,banlieue,236
84,bavard(e),236
85,beaux(-)arts,236
86,Belleville,236
87,besoin,236
88,avoir besoin de,236
89,Biarritz,236
90,bibliothèque,236
91,bicyclette,236
92,bien,236
93,bientôt,236
94,bistro(t),236
95,bizarre,236
96,blog,236
97,bonheur,236
98,Bouger,236
99,brésilien(ne),236
100,britannique,236
101,bronzé(e),236
102,bronzer,236
103,bruit,236
104,brûler,236
105,bureau,236
106,but,236
107,clocher,236
108,cadre,236
109,cadre de vie,236
110,calmer,236
111,candidature,236
112,cance,236
113,capitale,236
114,cas,236
115,caravane,236
116,carrefour,236
117,carrière,236
118,carte,236
119,à la carte,237
120,cas,237
121,cause,237
122,à cause de,237
123,célibataire,237
124,centre-ville,237
125,certain(e),237
126,ces dernières années,237
127,chacun,237
128,chaîne,237
129,Chambéry,237
130,changer (de),237
131,chanteur(euse),237
132,Charente-Maritime(la),237
133,chercher,237
134,chercher à,237
135,Chicago,237
136,chimie,237
137,choc,237
138,choix,237
139,chômage,237
140,chômeur(sel,237
141,choquer,237
142,cigarette,237
143,circuit,237
144,circuit touristique,237
145,citadinie),237
146,cité,237
147,citer,237
148,classique,237
149,climat,237
150,cliquer,237
151,clocher,237
152,clocher,237
153,code,237
154,code du travail,237
155,collège,237
156,comité,237
157,comme si,237
158,commentaire,237
159,commercial(e),237
160,commune,237
161,commune,237
162,communiquer,237
163,comparer,237
164,compartiment,237
165,compétition,237
166,complêter,237
167,comportement,237
168,compter,237
169,concentré(e),237
170,concert,237
171,concrètement,237
172,concurrence,237
