序号,法语词条,原书页码
1,à l'aise,146
2,à la fois,146
3,à présent,146
4,absence,146
5,absolument,146
6,abstraite,146
7,accélération,146
8,accompagnement,146
9,accomplir,146
10,accorder,146
11,accro,146
12,accrochage,146
13,accrocher,146
14,adaptation,146
15,addiction,146
16,addition,146
17,adéquation,146
18,"aérien,ne",146
19,affaire,146
20,afficher,146
21,agencement,146
22,agréer,146
23,aimable,146
24,ainsi que,146
25,ajustable,146
26,alcool,146
27,alerter,146
28,allégorie a,146
29,alliance,146
30,allure,146
31,alternative,146
32,amener,146
33,analphabète,146
34,ancienneté,146
35,âne,146
36,Angers,146
37,Angevine,146
38,A AA A A,146
39,"animal,e, pl.aux",146
40,animer,146
41,annuler,146
42,anonymat,146
43,antenne,146
44,anthropologique,146
45,apéritif,146
46,appareil,146
47,"apparent,e",146
48,apprécier,146
49,approche,146
50,approprier(s'),146
51,argumenter,146
52,arménien,146
53,"artificiel,le",146
54,"assailli,e",146
55,assemblée,146
56,assistance,146
57,astuce,146
58,atelier,146
59,atmosphère,146
60,attitude,146
61,attraction,146
62,attribut,146
63,au jour le jour,146
64,au travers de,146
65,aube,146
66,augmentation,146
67,aurore,146
68,autorité,146
69,"auto-stoppeur,se",146
70,Autriche,146
71,avaler,146
72,avancer,146
73,aveugle,146
74,bagagiste,146
75,baisse,147
76,bancaire,147
77,bande dessinée,147
78,BD (=bande d'essiriée),147
79,bénéficier (de),147
80,biais,147
81,Bible,147
82,blague,147
83,bloquer T,147
84,"bondé,e",147
85,boucler,147
86,bouleversement,147
87,bouquiniste,147
88,Bourse,147
89,bousculer,147
90,boutique,147
91,braise,147
92,brancher(se),147
93,brebis,147
94,brochure,147
95,brosse,147
96,brosser,147
97,budget,147
98,bulletin,147
99,câble,147
100,cache-cache,147
101,cachotterie,147
102,cadre,147
103,"cafetier,ère",147
104,caissière,147
105,calife,147
106,camionnette,147
107,canal,147
108,canyoning,147
109,caractériser,147
110,caractéristique,147
111,carcérale,147
112,Cargo,147
113,cata,147
114,catégurie,147
115,cave,147
116,cellule,147
117,césarienne,147
118,"chaleureux,se",147
119,champ,147
120,charger,147
121,charme,147
122,chartreuse,147
123,chauffage,147
124,chauffée,147
125,chauffe-eau,147
126,chauffeur,147
127,checker,147
128,chevet,147
129,être au chevet de an,147
130,chiant,147
131,chorégraphe,147
132,chute,147
133,ciblée,147
134,cimetière,147
135,circuler,147
136,cirque,147
137,civilisation,147
138,clayette,147
139,clignotant,147
140,climatisée,147
141,cloner,147
142,clore,147
143,cofonder,147
144,"coiffeur,se",147
145,"coincé,e",147
146,"collectif,ve",147
147,coma,147
148,"comédien,ne",147
149,"commerçant,e",147
150,commercialiser,147
151,communicante,148
152,communion,148
153,compagnie,148
154,compensation,148
155,complice,148
156,compliment,148
157,compliquée,148
158,comporter,148
159,concourir (à),148
160,"concret,ète",148
161,concrétiser,148
162,confiance,148
163,conformisme,148
164,congélateur,148
165,conscience,148
166,"conservateur,trice",148
167,constituer,148
168,"constitutionnel,le",148
169,consulter,148
170,conte,148
171,conte de fées,148
172,continent,148
173,contrainte,148
174,contrer,148
175,"convaincu,e",148
176,convention,148
177,coucou,148
178,coup de cœur,148
179,"coursier,.ère",148
180,courtoise,148
181,courtoisie,148
182,coût,148
183,coutume,148
184,cra-cra,148
185,crédit,148
186,créneau,148
187,monter au créneau,148
188,crime,148
189,cristal,148
190,critique,148
191,croisière,148
192,croissance,148
193,croyance,148
194,curieusement,148
195,cuvette,148
196,cyberachat,148
197,"cyberacheteur,se",148
198,d'autant que,148
199,dater (de),148
200,dauphin,148
201,débrancher,148
202,déclarer(se),148
203,déconnecter,148
204,décor,148
205,décourager (se),148
206,décrire,148
207,décroître,148
208,déçue,148
209,dédouaner(se),148
210,défi,148
211,définir,148
212,dégoûter,148
213,dégrader(se),148
214,délai,148
215,"déménageur,se",148
216,demeurer,148
217,démission,148
218,démocratisation,148
219,Danemark,148
220,dénoncer,148
221,dent,148
222,dentaire,149
223,dentifrice,149
224,déodorant,149
225,"dépanneur,se",149
226,dépendante,149
227,dépérir,149
228,déplacée,149
229,déplacement,149
230,dépliant,149
231,déployer (se),149
232,député,149
233,"dérangeant,e",149
234,déranger,149
235,dérive,149
236,dernièrement,149
237,déséquilibrer,149
238,design,149
239,desservir,149
240,détail,149
241,détente,149
242,détour,149
243,détruire,149
244,deviner,149
245,dévoiler,149
246,diamant,149
247,didactique,149
248,diffuser,149
249,diffusion,149
250,discrètement,149
