word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
le,DET,A1,beacco,81163.2834,86692.9124,81163.2834,76658.2211,88977.5742,87291.8019,96133.9927,106574.3123,86692.9124,80228.3938,77350.2171,87443.9928,84623.8218,95933.6866,100842.5948,85513.6877,A1,word_pos,le,DET,le,DET:ART
de,PREP,A1,beacco,38534.7501,50218.0475,38534.7501,42088.292,53580.6823,49479.5213,64391.7203,65363.7348,50218.0475,42591.8619,47890.8763,58293.0376,53195.8371,70596.3245,73798.6164,55282.5557,A1,word_pos,de,PREP,de,PRP
être,VERB,A1,beacco,35464.2977,27951.8637,35464.2977,28626.087,26412.069,28244.9102,24343.8705,22772.1877,27951.8637,35629.8553,29199.1937,26721.1592,29421.3899,24493.3878,22141.6879,28371.4745,A1,word_pos,être,V,être,VER
un,DET,A1,beacco,27985.4945,31086.3753,27985.4945,29999.1935,32307.4706,30587.2072,33536.5436,31902.1464,31086.3753,22391.3248,24109.4538,24932.1466,25003.3926,25366.4879,25241.8952,24493.632,A1,word_pos,un,DET,un,DET:ART
et,CONJ,A1,beacco,27247.1094,23739.1274,27247.1094,24336.472,24019.7151,21634.7997,21807.3529,21244.8456,23739.1274,27827.1696,24481.2224,23454.426,21671.7795,21472.7106,20183.6449,23548.4898,A1,word_pos,et,CONJC,et,KON
je,PRON,A1,beacco,23675.228,13390.9238,23675.228,20238.946,9453.6985,13334.2858,5117.8511,1135.1276,13390.9238,23225.5264,19497.3212,10253.1024,12825.844,4610.755,1686.1773,13365.1923,A1,word_pos,je,PRO,je,PRO
à,PREP,A1,beacco,20527.2589,17414.9317,20527.2589,16057.194,17440.269,15773.0575,17992.5266,18537.7022,17414.9317,21740.9426,19348.0972,20806.0504,19105.3701,21824.3633,22744.627,20537.2656,A1,word_pos,à,PREP,à,PRP
avoir,VERB,A1,beacco,16666.1076,17474.5957,16666.1076,20548.8279,16195.2882,22312.7973,12750.44,11833.8525,17474.5957,19957.1038,22430.6335,17540.228,23735.3337,13456.7238,12301.7347,19212.1423,A1,word_pos,avoir,V,avoir,VER
il,PRON,A1,beacco,15134.1188,13743.452,15134.1188,16008.506,14105.7864,14713.8649,8516.619,5682.8592,13743.452,19919.2611,19766.4628,18087.0955,18490.3086,10920.6453,7876.1789,17460.1527,A1,word_pos,il,PRO,il,PRO
ce,PRON,A1,beacco,12610.9668,8416.7689,12610.9668,9516.8943,7332.0281,8622.5443,5826.0421,5309.8923,8416.7689,19953.1662,17155.632,14668.7408,16498.4084,14555.24,12530.4126,16094.9508,A1,word_pos,ce,PRO,ce,PRO
