word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
anesthésiste,NOUN,C1,beacco,124.0461,2.184,0.0,0.0,0.0,0.0,124.0461,0.0,2.184,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,anesthésiste,N,anesthésiste,NOM
anglais,NOUN,C1,beacco,97.0173,184.0428,162.7524,214.7912,107.0186,285.9813,97.0173,86.6048,184.0428,0.0,0.0,0.0,4.5679,0.0,0.0,0.1228,C1,word_pos,anglais,N,anglais,NOM
nerfs,NOUN,C1,crf_first_attested,84.9003,2.8611,0.0,0.0,0.0,0.0,84.9003,0.0,2.8611,,,,,,,,,crf_only,nerfs,N,,
élevé,ADJ,C1,beacco,67.0663,32.1661,0.0,23.296,31.6586,16.3014,67.0663,160.2527,32.1661,0.0,0.0,0.0,0.0,3.4423,0.0,0.0657,C1,word_pos,élevé,A,élevé,ADJ
illustré,ADJ,C1,beacco,52.1292,2.6307,0.0,0.0,0.3618,0.0,52.1292,0.0,2.6307,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,illustré,A,illustré,ADJ
ciblé,ADJ,C1,crf_first_attested,45.0494,1.5973,0.0,0.0,0.0,0.0,45.0494,0.0,1.5973,,,,,,,,,crf_only,ciblé,A,,
fermé,ADJ,C1,beacco,43.6353,24.7854,17.1044,27.0583,1.0854,55.2415,43.6353,0.0,24.7854,0.0,0.0,0.0,3.5867,0.0,0.0,0.0964,C1,word_pos,fermé,A,fermé,ADJ
remplier,VERB,C1,beacco,41.5144,7.155,0.0,4.8012,2.952,0.0,41.5144,9.6228,7.155,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,remplier,V,remplier,VER
ne point,ADV,C1,crf_first_attested,40.3921,1.2789,0.0,0.0,0.0,0.0,40.3921,0.0,1.2789,,,,,,,,,crf_only,ne point,ADV,,
de l' ordre de,PREP,C1,crf_first_attested,38.9993,3.178,0.0,0.0,0.0,0.0,38.9993,48.0277,3.178,,,,,,,,,crf_only,de l' ordre de,PREP,,
antibiotique,ADJ,C1,beacco,38.9592,0.6859,0.0,0.0,0.0,0.0,38.9592,0.0,0.6859,0.0,0.0,0.0,0.0,12.4171,0.0,0.2926,C1,word_pos,antibiotique,A,antibiotique,ADJ
ondes,NOUN,C1,crf_first_attested,37.2138,3.5817,0.0,0.0,0.0,0.0,37.2138,39.0192,3.5817,,,,,,,,,crf_only,ondes,N,,
addiction,NOUN,C1,crf_first_attested,36.9099,1.3625,0.0,0.0,0.0,0.0,36.9099,0.0,1.3625,,,,,,,,,crf_only,addiction,N,,
biocarburant,NOUN,C1,crf_first_attested,31.0115,2.4505,0.0,0.0,0.0,0.0,31.0115,19.4814,2.4505,,,,,,,,,crf_only,biocarburant,N,,
annulaire,NOUN,C1,beacco,31.0115,0.546,0.0,0.0,0.0,0.0,31.0115,0.0,0.546,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,annulaire,N,annulaire,NOM
exemplarité,NOUN,C1,beacco,31.0115,0.546,0.0,0.0,0.0,0.0,31.0115,0.0,0.546,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,exemplarité,N,exemplarité,NOM
biométrie,NOUN,C1,beacco,27.9104,0.4914,0.0,0.0,0.0,0.0,27.9104,0.0,0.4914,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,biométrie,N,biométrie,NOM
expérimentateur,NOUN,C1,beacco,27.9104,0.4914,0.0,0.0,0.0,0.0,27.9104,0.0,0.4914,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,expérimentateur,N,expérimentateur,NOM
neutron,NOUN,C1,beacco,27.9104,0.4914,0.0,0.0,0.0,0.0,27.9104,0.0,0.4914,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,neutron,N,neutron,NOM
supraconductivité,NOUN,C1,beacco,27.9104,0.4914,0.0,0.0,0.0,0.0,27.9104,0.0,0.4914,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,supraconductivité,N,supraconductivité,NOM
le temps du,PREP,C1,crf_first_attested,27.7392,0.9498,0.0,0.0,0.0,0.0,27.7392,0.0,0.9498,,,,,,,,,crf_only,le temps du,PREP,,
à terme,ADV,C1,crf_first_attested,27.2438,2.5341,0.0,0.0,0.0,0.0,27.2438,38.491,2.5341,,,,,,,,,crf_only,à terme,ADV,,
au point,ADV,C1,crf_first_attested,26.7495,0.9865,0.0,0.0,0.0,0.0,26.7495,0.0,0.9865,,,,,,,,,crf_only,au point,ADV,,
détecteur,NOUN,C1,beacco,25.7756,0.9433,0.0,0.0,0.0,0.0,25.7756,0.0,0.9433,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,détecteur,N,détecteur,NOM
réversible,ADJ,C1,beacco,24.8092,1.8358,0.0,0.0,0.0,0.0,24.8092,19.2455,1.8358,0.0,0.0,0.0,0.0,12.0009,19.328,0.4293,C1,word_pos,réversible,A,réversible,ADJ
irréparable,ADJ,C1,beacco,24.8092,0.4368,0.0,0.0,0.0,0.0,24.8092,0.0,0.4368,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,irréparable,A,irréparable,ADJ
muqueuse,NOUN,C1,beacco,24.8092,0.4368,0.0,0.0,0.0,0.0,24.8092,0.0,0.4368,0.0,0.0,0.0,0.0,12.0009,19.328,0.4293,C1,word_pos,muqueuse,N,muqueuse,NOM
spectre,NOUN,C1,beacco,24.8092,0.4368,0.0,0.0,0.0,0.0,24.8092,0.0,0.4368,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,spectre,N,spectre,NOM
étendu,ADJ,C1,crf_first_attested,24.8092,0.4368,0.0,0.0,0.0,0.0,24.8092,0.0,0.4368,,,,,,,,,crf_only,étendu,A,,
contingences,NOUN,C1,crf_first_attested,24.7899,0.8564,0.0,0.0,0.0,0.0,24.7899,0.0,0.8564,,,,,,,,,crf_only,contingences,N,,
au fur et à mesure du,PREP,C1,crf_first_attested,24.6958,0.8848,0.0,0.0,0.0,0.0,24.6958,0.0,0.8848,,,,,,,,,crf_only,au fur et à mesure du,PREP,,
contrôlé,ADJ,C1,crf_first_attested,24.3636,0.8538,0.0,0.0,0.0,0.0,24.3636,0.0,0.8538,,,,,,,,,crf_only,contrôlé,A,,
extrémités,NOUN,C1,crf_first_attested,23.464,0.8657,0.0,0.0,0.0,0.0,23.464,0.0,0.8657,,,,,,,,,crf_only,extrémités,N,,
reculé,ADJ,C1,beacco,23.2672,0.8095,0.0,0.0,0.0,0.0,23.2672,0.0,0.8095,0.0,0.0,0.0,0.0,3.4423,0.0,0.0657,C1,word_pos,reculé,A,reculé,ADJ
d' aucuns,PRON,C1,crf_first_attested,21.8856,1.6273,0.0,0.0,0.0,0.0,21.8856,12.9876,1.6273,,,,,,,,,crf_only,d' aucuns,PRO,,
contrefaçon,NOUN,C1,beacco,21.7081,0.3822,0.0,0.0,0.0,0.0,21.7081,0.0,0.3822,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,contrefaçon,N,contrefaçon,NOM
épineux,ADJ,C1,beacco,21.7081,0.3822,0.0,0.0,0.0,0.0,21.7081,0.0,0.3822,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,épineux,A,épineux,ADJ
asiatique,NOUN,C1,beacco,20.5049,2.9228,0.0,0.0,4.0055,0.0,20.5049,0.0,2.9228,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,asiatique,N,asiatique,NOM
en droit,ADV,C1,crf_first_attested,19.6975,0.7238,0.0,0.0,0.0,0.0,19.6975,0.0,0.7238,,,,,,,,,crf_only,en droit,ADV,,
faire miner,VERB,C1,crf_first_attested,19.6975,0.7238,0.0,0.0,0.0,0.0,19.6975,0.0,0.7238,,,,,,,,,crf_only,faire miner,V,,
à l' encontre de,PREP,C1,crf_first_attested,19.6975,0.7238,0.0,0.0,0.0,0.0,19.6975,0.0,0.7238,,,,,,,,,crf_only,à l' encontre de,PREP,,
octet,NOUN,C1,beacco,19.2505,0.399,0.0,0.0,0.0,0.0,19.2505,0.0,0.399,0.0,0.0,0.0,0.0,10.3269,0.0,0.1972,C1,word_pos,octet,N,octet,NOM
transistor,NOUN,C1,beacco,19.2505,0.399,0.0,0.0,0.0,0.0,19.2505,0.0,0.399,0.0,0.0,0.0,0.0,10.3269,0.0,0.1972,C1,word_pos,transistor,N,transistor,NOM
verrier,ADJ,C1,beacco,19.2505,0.399,0.0,0.0,0.0,0.0,19.2505,0.0,0.399,0.0,0.0,0.0,0.0,6.8846,0.0,0.1315,C1,word_pos,verrier,A,verrier,ADJ
totalité,NOUN,C1,beacco,18.7334,2.6079,0.0,0.1103,0.8749,0.0,18.7334,0.0,2.6079,0.0,0.0,0.0,0.0,10.3269,0.0,0.1972,C1,word_pos,totalité,N,totalité,NOM
réflexe,ADJ,C1,beacco,18.6069,3.5653,0.0,0.1235,1.9237,0.0,18.6069,0.0,3.5653,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,réflexe,A,réflexe,ADJ
culpabilité,NOUN,C1,beacco,18.6069,1.8068,0.0,0.0,0.0,0.0,18.6069,38.491,1.8068,0.0,0.0,0.0,0.0,6.0005,38.656,0.4293,C1,word_pos,culpabilité,N,culpabilité,NOM
baby - sitter,NOUN,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,baby - sitter,N,,
blanchiment,NOUN,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,blanchiment,N,blanchiment,NOM
consi,NOUN,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,consi,N,,
