word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
foi,NOUN,B2,beacco,826.5439,655.4242,387.5425,763.7527,712.1347,826.5439,503.3849,308.3862,655.4242,0.0,0.5137,20.9905,23.1828,0.0,19.328,11.7588,B2,word_pos,foi,N,foi,NOM
parent,NOUN,B2,beacco,350.1718,420.8234,533.5155,685.8507,233.196,350.1718,156.2996,319.1316,420.8234,0.0,0.4157,4.808,8.9868,8.2781,19.328,7.4414,B2,word_pos,parent,N,parent,NOM
chapitre,NOUN,B2,beacco,300.3267,249.9331,505.3372,285.574,164.8527,300.3267,9.3035,0.0,249.9331,0.0,0.0,1.2756,1.2705,6.0005,0.0,1.8836,B2,word_pos,chapitre,N,chapitre,NOM
sommer,VERB,B2,beacco,261.9183,347.4665,498.8594,429.5531,275.9329,261.9183,301.6062,156.0767,347.4665,0.0,0.0,0.3906,4.5679,3.4423,0.0,2.0112,B2,word_pos,sommer,V,sommer,VER
criminel,NOUN,B2,beacco,174.333,23.9088,1.9917,0.0,0.6122,174.333,16.4039,0.0,23.9088,1.6691,0.0,0.8634,246.508,16.5561,0.0,33.2563,B2,word_pos,criminel,N,criminel,NOM
or,CONJ,B2,beacco,130.3268,52.5243,0.0,0.0,53.8114,130.3268,203.2384,47.8486,52.5243,0.0,0.0,0.5857,58.0037,92.388,43.8345,15.8837,B2,word_pos,or,CONJC,or,KON
pipe,NOUN,B2,beacco,116.4187,16.512,0.0,0.6418,1.7914,116.4187,8.021,12.9876,16.512,0.0,0.6228,3.5093,171.2464,3.4423,12.833,22.5162,B2,word_pos,pipe,N,pipe,NOM
terme,NOUN,B2,beacco,109.9093,56.0598,0.0,1.2702,82.0468,109.9093,80.7289,127.5345,56.0598,0.9051,0.4157,102.3421,75.9667,309.0527,413.7325,89.4695,B2,word_pos,terme,N,terme,NOM
forcément,ADV,B2,beacco,107.1448,33.7184,1.1385,0.0,44.7651,107.1448,41.5144,28.8683,33.7184,1.1764,0.0,39.8023,75.536,51.9203,19.328,29.5565,B2,word_pos,forcément,ADV,forcément,ADV
miser,VERB,B2,beacco,100.1949,67.4304,21.6643,40.104,24.8351,100.1949,179.4242,247.5689,67.4304,0.0,0.0,0.6378,0.0,20.6179,19.328,2.2128,B2,word_pos,miser,V,miser,VER
judiciaire,ADJ,B2,beacco,94.0028,21.8948,0.0,0.0,11.4963,94.0028,37.9244,87.2204,21.8948,0.0,0.0,7.4096,113.5582,31.3528,86.9662,21.7213,B2,word_pos,judiciaire,A,judiciaire,ADJ
revolver,NOUN,B2,beacco,93.5078,6.5263,0.0,0.0,0.0,93.5078,0.0,0.0,6.5263,0.0,0.0,0.0,67.5369,0.0,0.0,4.7418,B2,word_pos,revolver,N,revolver,NOM
clou,NOUN,B2,beacco,90.9494,8.2028,0.0,0.0,1.7071,90.9494,4.101,0.0,8.2028,0.0,0.0,3.338,121.8271,4.139,0.0,14.0167,B2,word_pos,clou,N,clou,NOM
enfoncer,VERB,B2,beacco,85.345,15.285,0.0,0.2599,17.542,85.345,0.0,0.0,15.285,0.0,0.5213,16.92,80.7838,0.0,0.0,16.0019,B2,word_pos,enfoncer,V,enfoncer,VER
enfiler,VERB,B2,beacco,85.3084,15.5587,1.1385,4.6114,4.6471,85.3084,0.0,0.0,15.5587,1.1764,0.4664,4.5502,41.0949,0.0,0.0,9.6622,B2,word_pos,enfiler,V,enfiler,VER
nuire,VERB,B2,beacco,82.4412,46.4191,15.1989,23.473,56.004,82.4412,73.6009,0.0,46.4191,0.0,0.0,5.0496,31.0018,31.3781,0.0,9.0888,B2,word_pos,nuire,V,nuire,VER
disposer,VERB,B2,beacco,80.6835,52.0511,1.5075,0.2117,52.533,80.6835,158.8444,104.5166,52.0511,1.8101,0.4157,48.1883,48.4628,175.0335,56.7717,45.1358,B2,word_pos,disposer,V,disposer,VER
coupable,NOUN,B2,beacco,79.4266,16.8841,3.4156,2.0049,5.7886,79.4266,0.0,0.0,16.8841,3.5292,0.0,5.1644,56.9395,0.0,0.0,11.5044,B2,word_pos,coupable,N,coupable,NOM
débat,NOUN,B2,beacco,78.3,62.2283,1.3242,4.3112,38.788,78.3,197.4797,476.9205,62.2283,1.2635,0.1937,17.5565,62.3203,242.0639,526.3187,55.3748,B2,word_pos,débat,N,débat,NOM
